,accuracy,precision,recall,f1,auc
Régression Logistique,0.7381121362668559,0.5043177892918825,0.7807486631016043,0.6128016789087093,0.8415717275052312
Régression Logistique Optimisée,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8407682967785269
Random Forest Optimisé,0.7700496806245565,0.5527426160337553,0.7005347593582888,0.6179245283018868,0.8396832777906946
Forêt Aléatoire,0.7693399574166075,0.5515789473684211,0.7005347593582888,0.6171967020023557,0.838928931256297
Arbre de Décision Optimisé,0.7537260468417317,0.525328330206379,0.7486631016042781,0.61742006615215,0.8343227673150947
Arbre de Décision,0.7544357700496807,0.5260223048327137,0.7566844919786097,0.6206140350877193,0.8322883567129091
