,accuracy,precision,recall,f1,auc
Random Forest Optimisé,0.7700496806245565,0.5527426160337553,0.7005347593582888,0.6179245283018868,0.8396832777906946
Régression Logistique Optimisée,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8407682967785269
Arbre de Décision Optimisé,0.7537260468417317,0.525328330206379,0.7486631016042781,0.61742006615215,0.8343227673150947
