,accuracy,precision,recall,f1,auc
logistic_regression,0.7381121362668559,0.5043177892918825,0.7807486631016043,0.6128016789087093,0.8415717275052312
decision_tree,0.7544357700496807,0.5260223048327137,0.7566844919786097,0.6206140350877193,0.8322883567129091
random_forest,0.7693399574166075,0.5515789473684211,0.7005347593582888,0.6171967020023557,0.838928931256297
